index,Date,Open,High,Low,Close,volume,oi
261,2017-03-14,21189.85,21274.45,21059.7,21102.7,0,0
262,2017-03-15,21089.4,21216.9,21063.95,21157.9,0,0
263,2017-03-16,21237.5,21289.8,21194.25,21249.9,0,0
264,2017-03-17,21308.45,21336.05,21127.95,21175.05,0,0
265,2017-03-20,21202.55,21202.55,21084.8,21110.25,0,0
266,2017-03-21,21110.65,21146.5,20967.0,21019.0,0,0
267,2017-03-22,20815.35,20899.0,20753.9,20781.35,0,0
268,2017-03-23,20848.75,20934.75,20775.35,20895.5,0,0
269,2017-03-24,20987.6,21174.1,20929.15,21122.55,0,0
270,2017-03-27,21178.1,21179.2,20979.55,21056.9,0,0
271,2017-03-28,21229.0,21264.95,21145.0,21225.4,0,0
272,2017-03-29,21291.45,21418.6,21255.75,21391.15,0,0
273,2017-03-30,21374.35,21696.0,21331.9,21620.7,0,0
274,2017-03-31,21551.85,21574.15,21414.0,21444.15,0,0
275,2017-04-03,21539.2,21565.45,21408.6,21547.75,0,0
276,2017-04-05,21602.2,21699.3,21499.75,21652.7,0,0
277,2017-04-06,21572.7,21674.0,21488.9,21622.95,0,0
278,2017-04-07,21536.5,21616.85,21397.0,21431.15,0,0
279,2017-04-10,21492.05,21552.1,21396.05,21520.15,0,0
280,2017-04-11,21521.45,21753.35,21483.55,21736.15,0,0
281,2017-04-12,21735.65,21787.1,21551.75,21666.8,0,0
282,2017-04-13,21651.25,21758.85,21627.0,21686.6,0,0
283,2017-04-17,21700.5,21743.3,21576.75,21647.6,0,0
284,2017-04-18,21706.05,21947.0,21634.15,21671.85,0,0
285,2017-04-19,21674.1,21706.3,21470.2,21556.35,0,0
286,2017-04-20,21419.45,21558.85,21396.0,21491.4,0,0
287,2017-04-21,21567.5,21614.55,21386.2,21551.45,0,0
288,2017-04-24,21591.9,21884.85,21578.65,21857.4,0,0
289,2017-04-25,21960.65,22093.25,21900.3,22054.7,0,0
290,2017-04-26,22158.65,22276.05,21814.9,22242.85,0,0
291,2017-04-27,22274.05,22380.85,22169.8,22326.3,0,0
292,2017-04-28,22296.8,22383.0,22182.55,22358.25,0,0
293,2017-05-02,22412.55,22492.15,22266.15,22341.35,0,0
294,2017-05-03,22445.85,22449.0,22240.05,22307.3,0,0
295,2017-05-04,22618.3,22743.7,22449.9,22720.1,0,0
296,2017-05-05,22844.85,22853.55,22514.0,22604.95,0,0
297,2017-05-08,22678.45,22835.15,22632.5,22767.35,0,0
298,2017-05-09,22820.8,22835.35,22664.35,22707.3,0,0
299,2017-05-10,22767.75,22859.4,22742.05,22830.35,0,0
300,2017-05-11,22916.05,22977.85,22764.65,22818.45,0,0
301,2017-05-12,22840.4,22859.15,22578.0,22671.7,0,0
302,2017-05-15,22735.85,22891.7,22730.35,22821.5,0,0
303,2017-05-16,22857.6,22944.1,22727.65,22928.6,0,0
304,2017-05-17,22972.35,22978.15,22830.1,22935.95,0,0
305,2017-05-18,22750.45,22834.55,22660.2,22698.6,0,0
306,2017-05-19,22761.95,22902.25,22628.45,22769.8,0,0
307,2017-05-22,22874.8,22918.35,22637.75,22652.85,0,0
