Ticker,Momentum,Rank_Mom,Group_Rank_1_to_100,Score,FIP,Close,Positive,Negative
HEROMOTOCO,6.986426200313822,140.0,28,73,-4.838709677419345,5710.0,52.41935483870967,47.58064516129033
UNITDSPR,6.972881246573293,141.0,29,72,-12.903225806451623,1380.8,56.451612903225815,43.54838709677419
IFCI,6.905414423309031,142.0,29,72,4.838709677419345,59.98,47.58064516129033,52.41935483870967
SCHAEFFLER,6.803542606388602,143.0,29,72,-3.225806451612897,4357.2,51.61290322580645,48.38709677419355
ADANIGREEN,6.624326061621089,144.0,29,72,4.838709677419345,947.35,47.58064516129033,52.41935483870967
MMTC,6.581139455315177,145.0,29,72,8.870967741935488,61.82,45.16129032258064,54.03225806451613
MARICO,6.550078383787672,146.0,30,71,1.6129032258064484,788.65,49.193548387096776,50.806451612903224
YESBANK,6.534243728988587,147.0,30,71,-0.8064516129032242,20.72,49.193548387096776,48.38709677419355
FLUOROCHEM,6.317017992864726,148.0,30,71,4.838709677419345,3483.3,47.58064516129033,52.41935483870967
MANAPPURAM,6.236595922327903,149.0,30,71,2.4193548387096726,283.25,48.38709677419355,50.806451612903224
BRITANNIA,6.1893426705449395,150.0,30,71,4.838709677419345,6002.5,47.58064516129033,52.41935483870967
RELIANCE,6.152840154315786,151.0,31,70,-5.6451612903225765,1393.9,52.41935483870967,46.774193548387096
PHOENIXLTD,6.017488303481167,152.0,31,70,-3.225806451612897,1658.6,51.61290322580645,48.38709677419355
BAJAJFINSV,5.994674528739297,153.0,31,70,-3.225806451612897,1993.4,50.806451612903224,47.58064516129033
MFSL,5.952938273621022,154.0,31,70,-3.225806451612897,1813.4,51.61290322580645,48.38709677419355
ATUL,5.466723913147553,155.0,31,70,4.838709677419345,6674.0,47.58064516129033,52.41935483870967
DIVISLAB,5.3776571420803165,156.0,32,69,-2.4193548387096726,6408.5,50.806451612903224,48.38709677419355
INOXINDIA,5.260710398440982,157.0,32,69,-0.8064516129032242,1163.0,50.0,49.193548387096776
MARUTI,5.169642066945168,158.0,32,69,0.0,14857.0,50.0,50.0
ASTERDM,5.069930370846953,159.0,32,69,-1.6129032258064484,654.6,50.806451612903224,49.193548387096776
JSL,4.695682787974453,160.0,32,69,-12.096774193548384,776.35,55.64516129032258,43.54838709677419
SUNTV,4.644936793685117,161.0,33,68,7.258064516129025,647.65,45.96774193548387,53.2258064516129
ANGELONE,4.638016943181467,162.0,33,68,-1.6129032258064484,233.2,50.806451612903224,49.193548387096776
UCOBANK,4.287920037782045,163.0,33,68,6.451612903225801,29.62,46.774193548387096,53.2258064516129
GRSE,4.226208427091205,164.0,33,68,14.516129032258071,2434.1,42.74193548387097,57.25806451612904
MINDACORP,3.9013365797166966,165.0,33,68,9.677419354838712,555.55,45.16129032258064,54.83870967741935
PFC,3.607569413456413,166.0,34,67,-4.838709677419345,413.8,52.41935483870967,47.58064516129033
DRREDDY,3.605069838209163,167.0,34,67,-6.451612903225801,1286.3,53.2258064516129,46.774193548387096
CESC,3.5861536196968746,168.0,34,67,5.6451612903225765,158.15,46.774193548387096,52.41935483870967
GRANULES,3.5151910281412846,169.0,34,67,-0.8064516129032242,582.25,50.0,49.193548387096776
ICICIPRULI,3.479173711128647,170.0,34,67,-1.6129032258064484,654.5,50.806451612903224,49.193548387096776
RVNL,3.454180721162947,171.0,35,66,16.12903225806452,316.35,41.935483870967744,58.06451612903226
HONASA,3.3907375639709247,172.0,35,66,7.258064516129025,303.0,45.96774193548387,53.2258064516129
GICRE,3.3228612706822203,173.0,35,66,11.29032258064516,383.05,44.354838709677416,55.64516129032258
KIMS,3.1697853111838814,174.0,35,66,7.258064516129025,745.05,45.96774193548387,53.2258064516129
PNBHOUSING,3.0150327251101894,175.0,35,66,-6.451612903225801,824.75,53.2258064516129,46.774193548387096
SCHNEIDER,2.9166612292835348,176.0,36,65,11.29032258064516,906.45,44.354838709677416,55.64516129032258
CRAFTSMAN,2.683177422680738,177.0,36,65,10.483870967741936,7526.0,44.354838709677416,54.83870967741935
NUVAMA,2.2977951470813274,178.0,36,65,4.838709677419345,1244.9,47.58064516129033,52.41935483870967
BALKRISIND,2.254775311210455,179.0,36,65,11.29032258064516,2383.9,44.354838709677416,55.64516129032258
BSOFT,1.7601852772288096,180.0,36,65,0.0,390.1,50.0,50.0
ANANDRATHI,1.655014858711601,181.0,37,64,-4.838709677419345,3075.9,52.41935483870967,47.58064516129033
ULTRACEMCO,1.6261649133626488,182.0,37,64,3.225806451612897,12677.0,48.38709677419355,51.61290322580645
FINCABLES,1.5628657360054587,183.0,37,64,6.451612903225801,913.7,46.774193548387096,53.2258064516129
AKUMS,1.4851137608890674,184.0,37,64,4.032258064516121,488.15,47.58064516129033,51.61290322580645
STARHEALTH,1.4634417261205401,185.0,37,64,9.677419354838712,465.5,45.16129032258064,54.83870967741935
ASAHIINDIA,1.4023730845779792,186.0,38,63,11.29032258064516,900.7,44.354838709677416,55.64516129032258
CENTURYPLY,1.3863957817629835,187.0,38,63,3.225806451612897,735.05,48.38709677419355,51.61290322580645
FORTIS,1.0910664073277898,188.0,38,63,10.483870967741936,942.65,44.354838709677416,54.83870967741935
GRASIM,0.8107056327092632,189.0,38,63,-3.225806451612897,2799.8,51.61290322580645,48.38709677419355
MSUMI,0.7043632429645452,190.0,38,63,14.516129032258071,43.2,42.74193548387097,57.25806451612904
M&M,0.6682530239055184,191.0,39,62,1.6129032258064484,3397.4,49.193548387096776,50.806451612903224
TATAPOWER,0.4743527314043261,192.0,39,62,-1.6129032258064484,377.55,50.806451612903224,49.193548387096776
LICI,0.4442852589769064,193.0,39,62,1.6129032258064484,849.4,49.193548387096776,50.806451612903224
RKFORGE,0.363520022367414,194.0,39,62,11.29032258064516,551.8,44.354838709677416,55.64516129032258
GAIL,0.3358911709333334,195.0,39,62,4.838709677419345,169.53,47.58064516129033,52.41935483870967
ICICIGI,0.23074203534558801,196.0,40,61,-3.225806451612897,1901.5,51.61290322580645,48.38709677419355
ALIVUS,0.09708628425704191,197.0,40,61,9.677419354838712,911.8,45.16129032258064,54.83870967741935
PEL,0.0,198.0,40,61,-6.666666666666671,1124.2,53.333333333333336,46.666666666666664
ABSLAMC,-0.017945335166624776,199.0,40,61,0.8064516129032242,893.6,49.193548387096776,50.0
CGPOWER,-0.06107801686737746,200.0,40,61,16.12903225806452,725.2,41.935483870967744,58.06451612903226
BHARTIARTL,-0.14911702710900254,201.0,41,60,1.6129032258064484,1879.3,49.193548387096776,50.806451612903224
GSPL,-0.16717525011954448,202.0,41,60,10.483870967741936,304.75,44.354838709677416,54.83870967741935
