symbol,company,industry,score,momentum,positive,negative,band,rank,price
PPLPHARMA,Piramal Pharma Ltd.,Healthcare,0.0,-5.77,47.9,50.4,Weak Momentum (<=0),N/A,183.73
POLYMED,Poly Medicure Ltd.,Healthcare,0.0,-14.26,38.0,60.3,Weak Momentum (<=0),N/A,1679.9
POONAWALLA,Poonawalla Fincorp Ltd.,Financial Services,0.0,-0.53,50.4,47.9,Weak Momentum (<=0),N/A,455.7
PREMIERENE,Premier Energies Ltd.,Capital Goods,0.0,-5.04,49.6,48.8,Weak Momentum (<=0),N/A,1017.75
PRESTIGE,Prestige Estates Projects Ltd.,Realty,0.0,-16.49,48.8,49.6,Weak Momentum (<=0),N/A,1483.5
PNB,Punjab National Bank,Financial Services,0.0,-9.99,52.1,46.3,Weak Momentum (<=0),N/A,109.11
RECLTD,REC Ltd.,Financial Services,0.0,-2.77,52.1,44.6,Weak Momentum (<=0),N/A,359.75
RHIM,RHI MAGNESITA INDIA LTD.,Capital Goods,0.0,-10.1,43.7,55.5,Weak Momentum (<=0),N/A,411.7
RITES,RITES Ltd.,Construction,0.0,-1.13,49.6,48.8,Weak Momentum (<=0),N/A,228.82
RAINBOW,Rainbow Childrens Medicare Ltd.,Healthcare,0.0,-5.16,42.0,57.1,Weak Momentum (<=0),N/A,1292.2
REDINGTON,Redington Ltd.,Services,0.0,-18.0,45.5,52.9,Weak Momentum (<=0),N/A,224.49
RELIANCE,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,0.0,-2.73,48.8,48.8,Weak Momentum (<=0),N/A,1436.2
RPOWER,Reliance Power Ltd.,Power,0.0,-26.94,41.3,57.0,Weak Momentum (<=0),N/A,29.12
SBFC,SBFC Finance Ltd.,Financial Services,0.0,-20.54,46.2,53.0,Weak Momentum (<=0),N/A,96.76
SBICARD,SBI Cards and Payment Services Ltd.,Financial Services,0.0,-20.71,44.6,52.1,Weak Momentum (<=0),N/A,648.15
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,0.0,-6.86,52.1,46.3,Weak Momentum (<=0),N/A,1872.2
SJVN,SJVN Ltd.,Power,0.0,-3.11,44.6,53.7,Weak Momentum (<=0),N/A,79.89
SRF,SRF Ltd.,Chemicals,0.0,-6.71,47.1,51.2,Weak Momentum (<=0),N/A,2771.3
SAGILITY,Sagility Ltd.,Information Technology,0.0,-15.14,46.3,51.2,Weak Momentum (<=0),N/A,42.81
SAMMAANCAP,Sammaan Capital Ltd.,Financial Services,0.0,-7.28,45.5,52.9,Weak Momentum (<=0),N/A,151.78
SAPPHIRE,Sapphire Foods India Ltd.,Consumer Services,0.0,-28.47,38.8,59.5,Weak Momentum (<=0),N/A,187.99
SAREGAMA,Saregama India Ltd,Media Entertainment & Publication,0.0,-14.17,41.2,58.0,Weak Momentum (<=0),N/A,349.85
SHREECEM,Shree Cement Ltd.,Construction Materials,0.0,-7.01,52.1,45.5,Weak Momentum (<=0),N/A,25595.0
SIGNATURE,Signatureglobal (India) Ltd.,Realty,0.0,-14.11,49.6,50.4,Weak Momentum (<=0),N/A,903.75
SOBHA,Sobha Ltd.,Realty,0.0,-8.49,46.2,52.9,Weak Momentum (<=0),N/A,1451.0
SONATSOFTW,Sonata Software Ltd.,Information Technology,0.0,-28.28,41.3,57.0,Weak Momentum (<=0),N/A,270.75
SUMICHEM,Sumitomo Chemical India Ltd.,Chemicals,0.0,-0.14,50.4,47.1,Weak Momentum (<=0),N/A,498.9
SUNDARMFIN,Sundaram Finance Ltd.,Financial Services,0.0,-4.8,52.1,46.3,Weak Momentum (<=0),N/A,4739.0
SUPREMEIND,Supreme Industries Ltd.,Capital Goods,0.0,-6.82,44.6,53.7,Weak Momentum (<=0),N/A,3664.9
SUZLON,Suzlon Energy Ltd.,Capital Goods,0.0,-0.54,43.0,53.7,Weak Momentum (<=0),N/A,55.65
SWANCORP,Swan Corp Ltd.,Chemicals,0.0,-26.19,37.2,61.2,Weak Momentum (<=0),N/A,355.4
SWIGGY,Swiggy Ltd.,Consumer Services,0.0,-28.08,42.1,56.2,Weak Momentum (<=0),N/A,279.5
SYNGENE,Syngene International Ltd.,Healthcare,0.0,-23.96,42.1,56.2,Weak Momentum (<=0),N/A,467.35
TBOTEK,TBO Tek Ltd.,Consumer Services,0.0,-21.77,44.5,54.6,Weak Momentum (<=0),N/A,1265.2
TATACHEM,Tata Chemicals Ltd.,Chemicals,0.0,-2.11,36.4,62.0,Weak Momentum (<=0),N/A,805.35
TATACOMM,Tata Communications Ltd.,Telecommunication,0.0,-13.67,46.3,51.2,Weak Momentum (<=0),N/A,1593.5
TCS,Tata Consultancy Services Ltd.,Information Technology,0.0,-21.67,47.1,51.2,Weak Momentum (<=0),N/A,2401.4
TATAELXSI,Tata Elxsi Ltd.,Information Technology,0.0,-20.08,44.6,53.7,Weak Momentum (<=0),N/A,4297.4
TATAINVEST,Tata Investment Corporation Ltd.,Financial Services,0.0,-6.22,43.0,55.4,Weak Momentum (<=0),N/A,732.5
TMPV,Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,0.0,-20.57,44.4,54.7,Weak Momentum (<=0),N/A,359.25
TATATECH,Tata Technologies Ltd.,Information Technology,0.0,-17.47,48.7,51.3,Weak Momentum (<=0),N/A,629.25
TTML,Tata Teleservices (Maharashtra) Ltd.,Telecommunication,0.0,-20.34,36.4,61.2,Weak Momentum (<=0),N/A,44.86
TECHNOE,Techno Electric & Engineering Company Ltd.,Construction,0.0,-2.18,44.6,53.7,Weak Momentum (<=0),N/A,1282.2
TEGA,Tega Industries Ltd.,Capital Goods,0.0,-12.38,44.5,54.6,Weak Momentum (<=0),N/A,1646.3
TEJASNET,Tejas Networks Ltd.,Telecommunication,0.0,-13.38,39.7,58.7,Weak Momentum (<=0),N/A,533.4
NIACL,The New India Assurance Company Ltd.,Financial Services,0.0,-9.08,41.3,56.2,Weak Momentum (<=0),N/A,164.99
RAMCOCEM,The Ramco Cements Ltd.,Construction Materials,0.0,-5.02,49.6,49.6,Weak Momentum (<=0),N/A,959.95
TARIL,Transformers And Rectifiers (India) Ltd.,Capital Goods,0.0,-1.6,44.4,55.6,Weak Momentum (<=0),N/A,328.25
TRENT,Trent Ltd.,Consumer Services,0.0,-3.05,47.9,50.4,Weak Momentum (<=0),N/A,4294.1
TRIDENT,Trident Ltd.,Textiles,0.0,-4.27,42.1,56.2,Weak Momentum (<=0),N/A,26.82
TIINDIA,Tube Investments of India Ltd.,Automobile and Auto Components,0.0,-3.84,49.6,48.8,Weak Momentum (<=0),N/A,3015.5
UCOBANK,UCO Bank,Financial Services,0.0,-13.1,47.1,51.2,Weak Momentum (<=0),N/A,27.29
UNOMINDA,UNO Minda Ltd.,Automobile and Auto Components,0.0,-10.36,46.3,51.2,Weak Momentum (<=0),N/A,1145.7
UPL,UPL Ltd.,Chemicals,0.0,-14.84,47.9,49.6,Weak Momentum (<=0),N/A,650.45
UTIAMC,UTI Asset Management Company Ltd.,Financial Services,0.0,-20.07,41.3,57.0,Weak Momentum (<=0),N/A,974.95
UBL,United Breweries Ltd.,Fast Moving Consumer Goods,0.0,-17.72,37.8,61.3,Weak Momentum (<=0),N/A,1428.2
UNITDSPR,United Spirits Ltd.,Fast Moving Consumer Goods,0.0,-2.81,52.1,47.9,Weak Momentum (<=0),N/A,1279.8
VEDL,Vedanta Ltd.,Metals & Mining,0.0,-41.44,62.0,36.4,Weak Momentum (<=0),N/A,305.4
VMM,Vishal Mega Mart Ltd.,Consumer Services,0.0,-5.31,43.8,53.7,Weak Momentum (<=0),N/A,125.42
WELSPUNLIV,Welspun Living Ltd.,Textiles,0.0,-1.08,43.8,54.5,Weak Momentum (<=0),N/A,132.24
WHIRLPOOL,Whirlpool of India Ltd.,Consumer Durables,0.0,-20.91,49.6,48.8,Weak Momentum (<=0),N/A,978.65
WIPRO,Wipro Ltd.,Information Technology,0.0,-19.51,47.1,51.2,Weak Momentum (<=0),N/A,197.36
ZENSARTECH,Zensar Technolgies Ltd.,Information Technology,0.0,-33.03,44.6,53.7,Weak Momentum (<=0),N/A,520.4
ECLERX,eClerx Services Ltd.,Services,0.0,-36.25,43.0,55.4,Weak Momentum (<=0),N/A,1593.7
