symbol,company,industry,score,momentum,positive,negative,band,rank,price
SHRIRAMFIN,Shriram Finance Ltd.,Financial Services,78.24,27.25,52.1,45.5,Good (60-80),47,1015.65
COALINDIA,Coal India Ltd.,Oil Gas & Consumable Fuels,79.5,29.0,52.1,46.3,Good (60-80),48,466.65
EMMVEE,Emmvee Photovoltaic Power Ltd.,Capital Goods,77.41,26.99,52.2,46.1,Good (60-80),49,264.9
POLYCAB,Polycab India Ltd.,Capital Goods,61.51,17.67,54.5,43.8,Good (60-80),50,9003.0
SYRMA,Syrma SGS Technology Ltd.,Capital Goods,89.96,40.37,51.2,47.1,Strong (80-100),51,1093.4
ELGIEQUIP,Elgi Equipments Ltd.,Capital Goods,64.85,20.01,53.7,44.6,Good (60-80),52,562.35
JINDALSTEL,Jindal Steel Ltd.,Metals & Mining,53.56,14.25,55.4,43.0,Average (40-60),53,1258.2
ATUL,Atul Ltd.,Chemicals,82.01,30.83,51.2,47.1,Strong (80-100),54,7033.5
RRKABEL,R R Kabel Ltd.,Capital Goods,59.0,15.96,54.7,45.3,Average (40-60),55,1927.0
AIAENG,AIA Engineering Ltd.,Capital Goods,57.74,15.76,54.7,45.3,Average (40-60),56,4005.5
GROWW,Billionbrains Garage Ventures Ltd.,Financial Services,87.45,35.28,50.4,47.9,Strong (80-100),57,208.03
HINDCOPPER,Hindustan Copper Ltd.,Metals & Mining,97.91,62.65,49.6,48.8,Strong (80-100),58,568.6
CPPLUS,Aditya Infotech Ltd.,Capital Goods,94.14,50.55,49.6,48.8,Strong (80-100),59,2463.1
THERMAX,Thermax Ltd.,Capital Goods,82.85,31.17,51.3,47.9,Strong (80-100),60,4182.3
TATASTEEL,Tata Steel Ltd.,Metals & Mining,64.02,19.9,52.9,45.5,Good (60-80),61,217.09
KARURVYSYA,Karur Vysya Bank Ltd.,Financial Services,76.57,26.64,51.2,47.1,Good (60-80),62,313.55
NMDC,NMDC Ltd.,Metals & Mining,61.92,18.02,52.9,45.5,Good (60-80),63,90.14
ONGC,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,70.71,23.3,52.1,46.3,Good (60-80),64,283.9
