Ticker,Positive,Negative,Momentum,ISIN Code,Rank_Mom,FIP,FIP_rank,Combined_Rank,Real_Rank,End_Date
INDIAMART,51.26050420168067,47.89915966386555,66.51161562061829,INE933S01016,6.0,-3.361344537815121,55.0,61.0,20,2020-01-01
ADANIGREEN,60.65573770491803,39.34426229508197,343.4596227523133,INE364U01010,1.0,-21.311475409836063,2.0,3.0,1,2020-02-01
DIXON,58.19672131147541,41.80327868852459,138.29485301687154,INE935N01020,2.0,-16.393442622950815,12.0,14.0,2,2020-02-01
ALKYLAMINE,57.377049180327866,42.62295081967213,94.94844228894199,INE150B01039,6.0,-14.754098360655739,15.0,21.0,3,2020-02-01
BERGEPAINT,59.01639344262295,40.98360655737705,78.66620149644257,INE463A01038,15.0,-18.032786885245898,7.0,22.0,4,2020-02-01
COROMANDEL,60.65573770491803,36.885245901639344,69.51606700438148,INE169A01031,23.0,-23.770491803278688,1.0,24.0,5,2020-02-01
IGL,60.65573770491803,39.34426229508197,69.7482713750983,INE203G01027,21.0,-21.311475409836063,4.0,25.0,6,2020-02-01
DLF,60.65573770491803,39.34426229508197,69.60474127735709,INE271C01023,22.0,-21.311475409836063,3.0,25.0,7,2020-02-01
ADANIENT,56.557377049180324,43.44262295081967,93.6767484817107,INE423A01024,7.0,-13.114754098360656,20.0,27.0,8,2020-02-01
COFORGE,57.377049180327866,42.62295081967213,73.68047422837971,INE591G01017,17.0,-14.754098360655739,16.0,33.0,9,2020-02-01
ESCORTS,57.377049180327866,42.62295081967213,73.08430484768778,INE042A01014,18.0,-14.754098360655739,17.0,35.0,10,2020-02-01
GUJGASLTD,58.19672131147541,40.98360655737705,65.45511739511794,INE844O01030,28.0,-17.213114754098356,11.0,39.0,11,2020-02-01
GODFRYPHLP,57.377049180327866,42.62295081967213,65.697281194301,INE260B01028,26.0,-14.754098360655739,18.0,44.0,12,2020-02-01
GRANULES,56.557377049180324,43.44262295081967,72.68181019809346,INE101D01020,19.0,-13.114754098360656,27.0,46.0,13,2020-02-01
TATAELXSI,58.19672131147541,41.80327868852459,57.29719203292489,INE670A01012,37.0,-16.393442622950815,13.0,50.0,14,2020-02-01
NH,59.01639344262295,40.98360655737705,51.13108545045782,INE410P01011,47.0,-18.032786885245898,10.0,57.0,15,2020-02-01
SCI,54.91803278688525,45.08196721311475,108.04976021799226,INE109A01011,4.0,-9.836065573770497,55.0,59.0,16,2020-02-01
NAVINFLUOR,54.09836065573771,44.26229508196721,89.29685361946996,INE048G01026,8.0,-9.836065573770497,53.0,61.0,17,2020-02-01
LALPATHLAB,54.91803278688525,45.08196721311475,85.31461175466093,INE600L01024,11.0,-9.836065573770497,52.0,63.0,18,2020-02-01
JMFINANCIL,54.09836065573771,44.26229508196721,80.35233662376999,INE780C01023,13.0,-9.836065573770497,51.0,64.0,19,2020-02-01
POLYCAB,54.91803278688525,45.08196721311475,81.00229025152646,INE455K01017,12.0,-9.836065573770497,54.0,66.0,20,2020-02-01
ADANIGREEN,59.01639344262295,40.98360655737705,261.4093830651403,INE364U01010,1.0,-18.032786885245898,6.0,7.0,1,2020-03-01
