Date,Open,High,Low,Close,Volume
2017-11-15,402.05,404.85,399.1,401.65,15360118
2017-11-16,402.5,411.85,402.5,410.85,15248284
2017-11-17,417.7,420.4,412.95,414.5,12289732
2017-11-20,411.9,420.15,411.4,418.6,9284422
2017-11-21,421.25,427.15,420.65,423.9,13157678
2017-11-22,426.1,426.65,419.75,423.1,11122078
2017-11-23,423.15,431.75,421.2,430.45,16124078
2017-11-24,431.85,436.1,430.65,432.35,14067774
2017-11-27,430.6,435.2,429.1,432.45,10296162
2017-11-28,431.75,432.45,426.4,428.8,10212164
2017-11-29,428.15,431.85,427.7,430.0,8084700
2017-11-30,427.9,427.9,417.95,418.9,20756764
2017-12-01,420.2,423.3,412.6,413.7,11179056
2017-12-04,415.2,415.35,407.85,409.85,10161464
2017-12-05,409.6,418.55,407.0,415.35,18412182
2017-12-06,413.6,422.85,413.1,421.2,24216916
2017-12-07,422.75,425.45,419.55,423.4,12165044
2017-12-08,424.5,425.9,417.75,418.6,12294670
2017-12-11,419.3,420.9,415.25,416.4,10854476
2017-12-12,416.35,422.3,412.7,416.2,15873030
2017-12-13,416.75,420.4,413.95,415.75,9200614
2017-12-14,417.7,420.4,413.1,418.9,11046486
2017-12-15,423.15,424.1,417.15,418.1,24549154
2017-12-18,414.5,423.9,392.15,418.6,18688562
2017-12-19,419.85,421.4,418.15,420.9,8942960
2017-12-20,420.9,421.55,416.85,417.35,10503710
2017-12-21,417.5,420.0,413.6,415.0,9123756
2017-12-22,415.75,419.25,413.35,418.4,10719886
2017-12-26,420.35,426.75,417.35,422.65,11663204
2017-12-27,424.1,426.1,417.7,419.85,9575244
2017-12-28,420.6,424.7,417.8,420.1,15601334
2017-12-29,421.1,423.75,417.5,418.65,11153644
2018-01-01,419.4,419.4,412.5,413.55,9507710
2018-01-02,415.0,418.0,412.0,414.15,9554194
2018-01-03,420.45,420.9,415.0,415.85,13585686
2018-01-04,417.35,419.0,416.25,418.35,9060878
2018-01-05,419.0,421.3,418.3,419.65,7484192
2018-01-08,420.95,423.15,419.8,422.1,8877918
2018-01-09,421.9,429.05,420.0,427.7,14376994
2018-01-10,428.6,430.65,425.2,428.35,11795304
2018-01-11,428.1,428.45,425.0,426.25,7895200
2018-01-12,428.6,433.1,426.45,431.4,15158062
2018-01-15,431.85,435.65,429.65,431.4,11185048
2018-01-16,430.75,430.75,418.15,419.5,10887570
2018-01-17,420.9,422.3,412.3,420.2,13280150
2018-01-18,422.3,422.55,415.95,418.05,9435916
2018-01-19,419.55,424.7,419.1,423.35,10031040
2018-01-22,430.9,442.85,427.3,441.6,45964244
2018-01-23,443.15,450.4,443.15,446.9,22656700
2018-01-24,446.25,446.25,437.55,439.25,14371878
2018-01-25,439.95,441.85,434.65,439.05,13748722
2018-01-29,439.15,444.25,436.05,438.4,9954132
2018-01-30,439.0,439.0,431.4,432.0,9235906
2018-01-31,431.85,438.4,428.0,436.95,12624060
2018-02-01,437.85,442.1,425.75,429.05,16620092
2018-02-02,425.0,429.1,409.55,411.1,29132610
2018-02-05,406.4,414.8,400.85,410.05,19301756
