Ticker,Positive,Negative,Momentum,ISIN Code,Rank_Mom,FIP,FIP_rank,Combined_Rank,Real_Rank,End_Date
CRAFTSMAN,54.83870967741935,45.16129032258064,90.38397515317837,,24.0,-9.677419354838712,54.0,78.0,16,2021-11-01
SRF,58.87096774193549,41.12903225806452,59.204069812294605,,66.0,-17.741935483870968,12.0,78.0,17,2021-11-01
TMPV,58.06451612903226,40.32258064516129,57.21834781824862,,68.0,-17.741935483870975,10.0,78.0,18,2021-11-01
IEX,55.64516129032258,44.354838709677416,75.03453674464456,,39.0,-11.29032258064516,41.0,80.0,19,2021-11-01
RPOWER,53.2258064516129,45.16129032258064,174.97409079467673,,6.0,-8.064516129032256,74.0,80.0,20,2021-11-01
TTML,63.70967741935484,36.29032258064516,468.72053563106186,,1.0,-27.41935483870968,1.0,2.0,1,2021-12-01
OLECTRA,59.67741935483871,39.516129032258064,325.0344054149606,,2.0,-20.161290322580648,4.0,6.0,2,2021-12-01
TRIDENT,56.451612903225815,38.70967741935484,192.5709980223419,,3.0,-17.741935483870975,5.0,8.0,3,2021-12-01
KPITTECH,58.06451612903226,41.12903225806452,103.73135620001506,,11.0,-16.935483870967744,9.0,20.0,4,2021-12-01
LODHA,58.06451612903226,41.935483870967744,88.65696770602376,,14.0,-16.12903225806452,11.0,25.0,5,2021-12-01
LTTS,58.06451612903226,41.935483870967744,96.17471850292235,,13.0,-16.12903225806452,12.0,25.0,6,2021-12-01
IEX,58.06451612903226,41.935483870967744,88.22844707441024,,15.0,-16.12903225806452,10.0,25.0,7,2021-12-01
IRCTC,57.25806451612904,41.935483870967744,96.46302555225901,,12.0,-15.322580645161295,14.0,26.0,8,2021-12-01
JSWENERGY,55.64516129032258,42.74193548387097,143.21385882364535,,4.0,-12.903225806451609,24.0,28.0,9,2021-12-01
LTIM,58.87096774193549,41.12903225806452,75.0884745756107,,24.0,-17.741935483870968,8.0,32.0,10,2021-12-01
TEJASNET,54.83870967741935,44.354838709677416,134.48499090102294,,5.0,-10.483870967741936,41.0,46.0,11,2021-12-01
RTNINDIA,54.83870967741935,44.354838709677416,130.35735114517615,,6.0,-10.483870967741936,40.0,46.0,12,2021-12-01
DMART,58.87096774193549,41.12903225806452,58.3848999688531,,45.0,-17.741935483870968,7.0,52.0,13,2021-12-01
PERSISTENT,57.25806451612904,42.74193548387097,62.54594348780553,,36.0,-14.516129032258071,16.0,52.0,14,2021-12-01
SOLARINDS,55.64516129032258,44.354838709677416,83.8911243281637,,17.0,-11.29032258064516,35.0,52.0,15,2021-12-01
DBREALTY,55.64516129032258,43.54838709677419,69.52196801400379,,29.0,-12.096774193548384,25.0,54.0,16,2021-12-01
FLUOROCHEM,54.83870967741935,45.16129032258064,105.45321568978383,,10.0,-9.677419354838712,45.0,55.0,17,2021-12-01
JBMA,54.83870967741935,45.16129032258064,111.50267101152807,,9.0,-9.677419354838712,47.0,56.0,18,2021-12-01
BRIGADE,55.64516129032258,44.354838709677416,72.6292428993123,,26.0,-11.29032258064516,30.0,56.0,19,2021-12-01
SONACOMS,53.77358490566038,45.28301886792453,114.82371466914336,,8.0,-8.490566037735846,52.0,60.0,20,2021-12-01
TTML,60.0,40.0,264.12672560800524,,1.0,-20.0,6.0,7.0,1,2022-01-01
OLECTRA,59.199999999999996,40.0,230.0617278910643,,2.0,-19.199999999999996,8.0,10.0,2,2022-01-01
TRIDENT,56.8,40.8,206.3022997687198,,3.0,-16.0,15.0,18.0,3,2022-01-01
KPITTECH,57.599999999999994,41.6,123.29316144074593,,7.0,-15.999999999999993,16.0,23.0,4,2022-01-01
LTIM,60.8,39.2,77.48137234853102,,21.0,-21.599999999999994,2.0,23.0,5,2022-01-01
IRCTC,58.4,41.6,87.47415077786118,,17.0,-16.799999999999997,12.0,29.0,6,2022-01-01
LTTS,58.4,41.6,89.89141143700039,,16.0,-16.799999999999997,13.0,29.0,7,2022-01-01
JBMA,56.8,43.2,144.80131051603493,,4.0,-13.599999999999994,26.0,30.0,8,2022-01-01
SRF,60.0,40.0,63.20030816104616,,29.0,-20.0,5.0,34.0,9,2022-01-01
CGPOWER,54.400000000000006,44.0,133.87706205460438,,5.0,-10.400000000000006,36.0,41.0,10,2022-01-01
MPHASIS,60.8,39.2,52.07313377676628,,41.0,-21.599999999999994,3.0,44.0,11,2022-01-01
USHAMART,58.4,41.6,61.92755565846848,,32.0,-16.799999999999997,14.0,46.0,12,2022-01-01
IEX,56.00000000000001,44.0,83.37890504441646,,18.0,-12.000000000000007,31.0,49.0,13,2022-01-01
ATGL,56.8,43.2,69.36816528773522,,26.0,-13.599999999999994,24.0,50.0,14,2022-01-01
DBREALTY,56.8,42.4,62.56970862707121,,30.0,-14.399999999999999,23.0,53.0,15,2022-01-01
FLUOROCHEM,55.2,44.800000000000004,90.63776081840598,,15.0,-10.399999999999999,40.0,55.0,16,2022-01-01
JSWENERGY,54.400000000000006,44.0,81.98579124580696,,19.0,-10.400000000000006,37.0,56.0,17,2022-01-01
SONACOMS,54.400000000000006,44.800000000000004,114.49197400596418,,9.0,-9.600000000000001,48.0,57.0,18,2022-01-01
TECHM,57.599999999999994,42.4,57.693887637471185,,38.0,-15.199999999999996,21.0,59.0,19,2022-01-01
