Ticker,Momentum,Rank_Mom,Group_Rank_1_to_100,Score,FIP,Close,Positive,Negative
COALINDIA,9.643878346763724,112.0,23.0,78.0,-11.475409836065573,421.8,55.73770491803278,44.26229508196721
BAJAJ-AUTO,9.379779099405262,113.0,23.0,78.0,1.639344262295083,9655.5,49.18032786885246,50.81967213114754
AJANTPHARM,9.16272310615942,114.0,23.0,78.0,2.4590163934426243,2929.6,48.36065573770492,50.81967213114754
GMRAIRPORT,9.075925722448064,115.0,23.0,78.0,1.639344262295083,99.27,49.18032786885246,50.81967213114754
NESTLEIND,8.712089389229604,116.0,24.0,77.0,1.639344262295083,1294.0,49.18032786885246,50.81967213114754
NLCINDIA,8.710359408033842,117.0,24.0,77.0,9.836065573770497,257.1,45.08196721311475,54.91803278688525
NTPC,7.80701754385964,118.0,24.0,77.0,-4.918032786885242,368.7,51.63934426229508,46.72131147540984
IPCALAB,7.742265032107398,119.0,24.0,77.0,13.114754098360656,1476.5,43.44262295081967,56.557377049180324
ASAHIINDIA,7.698471753191005,120.0,24.0,77.0,11.475409836065573,940.8,44.26229508196721,55.73770491803278
STARHEALTH,7.632363052945235,121.0,25.0,76.0,6.5573770491803245,469.6,46.72131147540984,53.278688524590166
ANANDRATHI,7.531111428980108,122.0,25.0,76.0,-1.639344262295083,3007.0,50.81967213114754,49.18032786885246
YESBANK,7.438016528925617,123.0,25.0,76.0,-0.8196721311475414,20.8,49.18032786885246,48.36065573770492
HEROMOTOCO,7.408489096573212,124.0,25.0,76.0,-1.639344262295083,5516.5,50.81967213114754,49.18032786885246
POLYCAB,6.908354288907526,125.0,25.0,76.0,-1.639344262295083,7652.5,50.81967213114754,49.18032786885246
IIFL,6.702014846235427,126.0,26.0,75.0,0.8196721311475414,503.1,49.18032786885246,50.0
NAM-INDIA,6.655891011949433,127.0,26.0,75.0,6.5573770491803245,923.8,46.72131147540984,53.278688524590166
LINDEINDIA,6.628966383914547,128.0,26.0,75.0,13.114754098360656,6788.0,43.44262295081967,56.557377049180324
BRITANNIA,6.340992808279244,129.0,26.0,75.0,3.278688524590166,6062.5,48.36065573770492,51.63934426229508
MARUTI,5.83643906898248,130.0,26.0,75.0,-4.918032786885249,15051.0,52.459016393442624,47.540983606557376
BIOCON,5.77270830435388,131.0,27.0,74.0,-12.295081967213115,380.2,55.73770491803278,43.44262295081967
